imageId,label
0.png,1
1.png,0
2.png,1
3.png,4
4.png,0
5.png,0
6.png,7
7.png,3
8.png,5
9.png,3
10.png,8
11.png,9
12.png,1
13.png,3
14.png,3
15.png,1
16.png,2
17.png,0
18.png,7
19.png,5
20.png,8
21.png,6
22.png,2
23.png,0
24.png,2
25.png,3
26.png,6
27.png,9
28.png,9
29.png,7
30.png,8
31.png,9
32.png,4
33.png,9
34.png,2
35.png,1
36.png,3
37.png,1
38.png,1
39.png,4
40.png,9
41.png,1
42.png,4
43.png,4
44.png,2
45.png,6
46.png,3
47.png,7
48.png,7
49.png,4
50.png,7
51.png,5
52.png,1
53.png,9
54.png,0
55.png,2
56.png,2
57.png,3
58.png,9
59.png,1
60.png,1
61.png,1
62.png,5
63.png,0
64.png,6
65.png,3
66.png,4
67.png,8
68.png,1
69.png,0
70.png,3
71.png,9
72.png,6
73.png,2
74.png,6
75.png,4
76.png,7
77.png,1
78.png,4
79.png,1
80.png,5
81.png,4
82.png,8
83.png,9
84.png,2
85.png,9
86.png,9
87.png,8
88.png,9
89.png,6
90.png,3
91.png,6
92.png,4
93.png,6
94.png,2
95.png,9
96.png,1
97.png,2
98.png,0
99.png,5
100.png,9
101.png,2
102.png,7
103.png,7
104.png,2
105.png,8
106.png,8
107.png,5
108.png,0
109.png,6
110.png,0
111.png,0
112.png,2
113.png,9
114.png,0
115.png,4
116.png,7
117.png,7
118.png,1
119.png,5
120.png,7
121.png,9
122.png,4
123.png,6
124.png,1
125.png,5
126.png,7
127.png,6
128.png,5
129.png,0
130.png,4
131.png,8
132.png,7
133.png,6
134.png,1
135.png,8
136.png,7
137.png,3
138.png,7
139.png,3
140.png,1
141.png,0
142.png,3
143.png,4
144.png,5
145.png,4
146.png,0
147.png,5
148.png,4
149.png,0
150.png,3
151.png,5
152.png,1
153.png,0
154.png,8
155.png,3
156.png,7
157.png,0
158.png,9
159.png,6
160.png,6
161.png,9
162.png,5
163.png,4
164.png,6
165.png,9
166.png,3
167.png,5
168.png,4
169.png,2
170.png,4
171.png,8
172.png,7
173.png,7
174.png,5
175.png,8
176.png,8
177.png,8
178.png,2
179.png,6
180.png,9
181.png,3
182.png,1
183.png,0
184.png,4
185.png,1
186.png,5
187.png,9
188.png,0
189.png,6
190.png,2
191.png,1
192.png,3
193.png,0
194.png,6
195.png,0
196.png,0
197.png,8
198.png,3
199.png,2
200.png,0
201.png,0
202.png,6
203.png,0
204.png,0
205.png,4
206.png,7
207.png,2
208.png,7
209.png,1
210.png,9
211.png,9
212.png,3
213.png,9
214.png,8
215.png,4
216.png,6
217.png,6
218.png,5
219.png,3
220.png,8
221.png,1
222.png,8
223.png,7
224.png,1
225.png,3
226.png,7
227.png,6
228.png,3
229.png,6
230.png,3
231.png,6
232.png,3
233.png,2
234.png,3
235.png,2
236.png,2
237.png,7
238.png,9
